City,Country,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
seymchan,RU,1562696062,62.93,152.39,55.6,71,34,1.34
escarcega,MX,1562696063,18.61,-90.75,91.6,50,99,2.98
blagoyevo,RU,1562696063,63.37,47.92,55.6,70,36,5.5
nouadhibou,MR,1562695809,20.93,-17.03,73.4,69,0,23.04
sol-iletsk,RU,1562696063,51.16,55,75.4,37,99,3.62
devils lake,US,1562695875,48.11,-98.87,67.06,100,75,9.17
fairmount,US,1562696063,39.19,-94.94,88.63,55,40,13.87
petropavlovsk-kamchatskiy,RU,1562696064,53.05,158.65,48.2,100,100,3.29
diffa,NE,1562695987,13.32,12.61,89.26,45,82,11.77
keti bandar,PK,1562696064,24.14,67.45,83.32,83,100,23.78
nerchinskiy zavod,RU,1562696064,51.31,119.61,56.5,76,26,1.1
tokur,RU,1562695925,53.13,132.9,48.4,99,100,1.57
college,US,1562696065,64.86,-147.8,71.65,56,40,2.44
bela,PK,1562696065,26.23,66.31,82.42,61,13,4.52
tingo maria,PE,1562696065,-9.29,-76.01,79.88,74,75,9.01
hauterive,CA,1562696065,49.18,-68.27,67.21,43,75,10.29
jalu,LY,1562696066,29.03,21.55,88.18,17,0,2.17
charters towers,AU,1562696066,-20.07,146.27,62.8,89,94,3.42
nishihara,JP,1562696066,35.74,139.53,65.91,82,40,9.17
jogindarnagar,IN,1562696066,31.98,76.77,77.56,73,16,3.67
faya,SA,1562696067,18.39,42.45,77.07,38,20,10.29
petropavlovka,RU,1562696067,50.61,105.32,55.78,87,100,3.51
praia,BR,1562696067,-20.25,-43.81,69.84,43,0,5.82
mana,NG,1562696067,13.03,5.27,84.22,58,100,9.71
chiang klang,TH,1562696068,19.29,100.86,69.82,95,100,2.77
sampiro,ID,1562696068,0.85,123.73,79.54,77,100,6.08
baruun-urt,MN,1562696068,46.68,113.28,62.26,67,13,3.33
katobu,ID,1562696068,-4.94,122.53,70.9,89,14,3.6
tigil,RU,1562696068,57.8,158.67,48.58,92,93,3.53
mecca,SA,1562696069,21.43,39.83,86.74,31,9,8.93
port-gentil,GA,1562696069,-0.72,8.78,78.8,78,20,9.17
kavieng,PG,1562696069,-2.57,150.8,80.26,78,100,9.57
kourou,GF,1562696069,5.16,-52.64,86,62,75,6.93
colchester,US,1562696070,41.58,-72.33,84.94,31,1,5.82
sandur,IQ,1562696070,36.91,43.06,80.98,20,0,3.02
cap-aux-meules,CA,1562696070,47.38,-61.86,60.8,67,20,16.11
sisimiut,GL,1562696070,66.94,-53.67,39.94,95,65,10.83
songjianghe,CN,1562696070,42.18,127.48,53.98,76,0,1.48
dovolnoye,RU,1562696071,54.5,79.67,57.76,87,100,6.33
novo aripuana,BR,1562696071,-5.12,-60.38,88.54,48,65,3.58
monrovia,LR,1562695809,6.33,-10.8,80.6,83,75,12.75
banda aceh,ID,1562696071,5.56,95.32,84.04,71,82,6.31
eldorado,BR,1562696072,-24.52,-48.11,68.2,57,2,2.75
la ronge,CA,1562696072,55.1,-105.3,66.2,59,75,11.41
ribas do rio pardo,BR,1562696072,-20.45,-53.76,79.18,32,0,7.16
xiongzhou,CN,1562696072,32.34,118.83,71.37,94,40,4.47
yuli,CN,1562696072,24.82,106.77,65.32,96,100,2.19
luderitz,NA,1562695813,-26.65,15.16,68,42,0,2.24
nkhata bay,MW,1562696073,-11.61,34.3,59.02,71,36,2.08
nizhniy kuranakh,RU,1562696073,58.84,125.49,57.4,96,41,3.04
portree,GB,1562696073,57.41,-6.19,57,97,100,7
sola,TZ,1562696073,-3.17,33.8,71.98,59,74,1.61
the valley,AI,1562696026,18.22,-63.06,86.7,66,75,17.22
hailey,US,1562696074,43.52,-114.32,66,63,20,6.93
bay roberts,CA,1562696074,47.58,-53.28,74.07,43,75,20.8
gongzhuling,CN,1562696074,43.5,124.81,70.36,76,100,2.48
gushi,CN,1562696075,32.17,115.65,66.76,94,0,4.27
dalvik,SE,1562696075,57.79,14.13,60.69,63,70,8.05
green valley,US,1562696075,40.41,-89.64,86.13,55,1,8.05
marshfield,US,1562695811,42.09,-70.71,85.73,32,1,6.93
kloulklubed,PW,1562696075,7.04,134.26,77,94,90,5.82
tura,RU,1562696076,64.27,100.22,55.42,83,59,6.91
guarapari,BR,1562696076,-20.67,-40.5,72.77,53,75,3.36
sungaipenuh,ID,1562696076,-2.08,101.38,71.98,92,93,2.71
harper,US,1562696076,30.3,-99.24,85.1,65,1,9.17
acapulco,MX,1562696077,16.86,-99.88,87.8,70,75,5.82
grindavik,IS,1562696077,63.84,-22.43,57.2,62,75,11.41
sonthofen,DE,1562696077,47.51,10.28,64.56,48,40,10.29
champerico,MX,1562696078,16.38,-93.6,82.4,65,75,4.7
akdagmadeni,TR,1562696078,39.66,35.88,63.52,78,0,6.04
birjand,IR,1562696078,32.86,59.22,86,15,0,18.34
nouna,BF,1562696079,12.73,-3.87,87.28,53,82,13.38
tabou,CI,1562696079,4.42,-7.36,75.58,78,100,6.64
yerbogachen,RU,1562696079,61.28,108.01,58.12,69,36,1.7
fare,PF,1562696079,-16.7,-151.02,76.48,77,31,16.04
karratha,AU,1562696054,-20.74,116.85,66.4,44,58,2.93
goderich,CA,1562696080,43.74,-81.71,72.99,48,6,3
rio bueno,JM,1562696080,18.47,-77.46,89.6,62,20,17.22
manzanillo,MX,1562696080,19.05,-104.32,86,74,5,9.17
roswell,US,1562696007,33.39,-104.52,95.47,14,1,8.05
otane,NZ,1562696081,-39.89,176.62,37.99,92,34,2.57
codrington,AU,1562696081,-28.95,153.24,49.19,100,90,5.82
beloha,MG,1562696081,-25.17,45.06,62.44,74,0,5.03
bordighera,IT,1562696081,43.79,7.66,78.39,88,40,11.41
billings,US,1562696081,45.79,-108.5,67.93,43,75,4.7
zhigansk,RU,1562696082,66.77,123.37,61,93,73,9.04
vicksburg,US,1562695967,32.35,-90.88,92.59,56,1,4.7
mazagao,BR,1562696082,-0.12,-51.29,87.8,66,75,9.17
benito juarez,CU,1562696082,22.29,-79.63,91.4,52,75,3.36
boende,CD,1562696082,-0.28,20.88,75.22,89,100,3.36
purulha,GT,1562696083,15.24,-90.24,80.8,50,100,4.41
loei,TH,1562696083,17.49,101.72,72.7,85,100,5.46
beringovskiy,RU,1562696083,63.05,179.32,58.3,55,0,5.08
tuburan,PH,1562696084,10.73,123.82,77,94,90,6.93
bonoua,CI,1562696084,5.27,-3.6,77,83,40,11.41
pryluky,UA,1562696084,50.6,32.39,57.04,84,17,7.18
cockburn town,TC,1562696084,21.46,-71.14,91.4,66,40,11.41
khagaria,IN,1562696085,25.51,86.48,80.98,89,100,6.93
smithers,CA,1562696085,54.78,-127.17,59,87,90,3.36
tutoia,BR,1562696085,-2.76,-42.27,93.2,52,40,12.75
catumbela,AO,1562696085,-12.43,13.55,71.6,83,90,5.82
urucara,BR,1562696085,-2.54,-57.76,89.26,52,29,4
nguru,NG,1562696086,12.88,10.45,84.76,53,98,17.67
lakes entrance,AU,1562696086,-37.88,147.99,37,94,31,8.95
trairi,BR,1562696086,-3.28,-39.27,86.74,48,23,8.57
egvekinot,RU,1562696086,66.32,-179.17,69.1,40,38,2.01
kaohsiung,TW,1562696087,22.62,120.31,81.19,89,75,6.93
vestmannaeyjar,IS,1562696038,63.44,-20.27,55.4,71,75,26.4
batagay-alyta,RU,1562695927,67.8,130.41,54.88,91,23,1.9
pully,CH,1562696087,46.51,6.66,67.69,50,40,17.22
morant bay,JM,1562695937,17.88,-76.41,86,62,20,17.22
raudeberg,NO,1562696087,61.99,5.14,61.99,67,20,6.93
usinsk,RU,1562696088,66,57.56,48.4,81,99,10.65
santa ana huista,GT,1562695811,15.68,-91.82,70.72,84,100,3.6
kenora,CA,1562696088,49.76,-94.48,71.38,73,75,3.36
dhidhdhoo,MV,1562696088,6.88,73.1,83.86,77,100,14
dudinka,RU,1562696088,69.41,86.18,48.2,87,75,11.18
hualmay,PE,1562696089,-11.1,-77.61,62.44,84,82,11.21
quatre cocos,MU,1562696089,-20.21,57.76,72.36,88,40,3.36
belaya gora,RU,1562696089,68.54,146.19,64.78,72,58,4.27
berdigestyakh,RU,1562696089,62.1,126.7,59.2,98,100,3.53
west bay,CA,1562696090,49.34,-123.21,68.31,72,90,6.93
marsa matruh,EG,1562696090,31.35,27.25,80.6,88,75,14.99
solnechnyy,RU,1562696090,50.72,136.64,57.4,96,100,1.28
vodstroy,RU,1562696091,48.84,44.56,72.64,49,0,8.95
aripuana,BR,1562696091,-9.17,-60.63,94.3,29,1,4.23
kabugao,PH,1562696091,18.02,121.18,68.74,88,100,4.07
ust-omchug,RU,1562696091,61.13,149.63,51.28,93,100,5.86
slave lake,CA,1562696092,55.28,-114.77,55.4,62,1,4.7
andros town,BS,1562696092,24.73,-77.79,88.88,66,40,13.87
sandakan,MY,1562695931,5.84,118.12,73.13,94,75,9.17
manakara,MG,1562696092,-22.14,48.01,69.1,85,61,3.36
ahuimanu,US,1562696092,21.44,-157.84,80.1,88,90,6.93
puertollano,ES,1562696093,38.69,-4.11,84.43,21,40,6.93
toccoa,US,1562696093,34.58,-83.33,82.81,70,75,5.82
husum,DE,1562696093,54.49,9.05,59.16,63,63,16.11
santa maria del oro,MX,1562696094,25.95,-105.37,77.02,41,30,5.01
sechura,PE,1562696094,-5.56,-80.82,64.78,86,85,10.29
rio gallegos,AR,1562696094,-51.62,-69.22,39.2,93,90,2.24
panhala,IN,1562696094,16.81,74.11,71.62,90,99,14.94
izhma,RU,1562696095,65.01,53.91,50.02,68,98,6.53
cherskiy,RU,1562696095,68.75,161.3,68.2,52,17,4.59
dogondoutchi,NE,1562696095,13.64,4.03,83.86,52,99,3.09
khanpur,PK,1562696095,28.65,70.66,98.8,32,2,23.24
olinda,AU,1562696095,-37.84,145.39,50.2,76,75,14.99
barkly west,ZA,1562696096,-28.54,24.52,62.6,48,0,3.36
buala,SB,1562696096,-8.15,159.59,78.28,85,100,9.82
digha,IN,1562696096,21.62,87.51,86.38,81,98,21.3
pierre,US,1562696096,44.37,-100.35,78.35,65,40,19.46
auki,NG,1562696097,12.18,6.51,74.14,85,100,4.61
anito,PH,1562696097,12.45,125.29,73.96,93,34,3.15
jimenez,PA,1562696097,8.54,-82.37,74.84,74,40,8.05
mahenge,TZ,1562696097,-8.68,36.72,72.16,65,15,3.27
grushevskaya,RU,1562696097,47.44,39.97,69.8,40,0,4.47
walsrode,DE,1562696098,52.86,9.59,61.11,51,75,9.17
emerald,AU,1562696098,-23.53,148.16,61.38,88,90,3
baiquan,CN,1562696098,47.61,126.08,65.68,92,100,7.76
eyl,SO,1562696098,7.98,49.82,79.72,68,80,25.77
taitung,TW,1562696099,22.76,121.15,64.6,82,100,8.21
aykhal,RU,1562696099,65.95,111.51,59,62,0,6.71
dedenevo,RU,1562696099,56.24,37.52,60.8,72,40,8.95
christchurch,NZ,1562695927,-43.53,172.64,41.79,93,93,3.36
peterhead,AU,1562696099,-34.83,138.5,49.71,71,0,12.75
aginskoye,RU,1562696100,51.11,114.54,57.99,78,20,1.39
okhotsk,RU,1562696100,59.36,143.24,44.8,97,100,4.9
inirida,CO,1562696100,3.87,-67.92,79.36,87,68,4.07
alice springs,AU,1562696039,-23.7,133.88,42.8,41,0,4.7
capitao poco,BR,1562696100,-1.75,-47.06,84.58,74,65,4.81
naze,NG,1562696101,5.43,7.07,74.5,89,95,3.31
rudovci,RS,1562696101,44.38,20.41,70.38,64,40,6.93
markova,RU,1562696101,52.21,104.21,64.15,82,20,4.47
saint-joseph,FR,1562696101,43.56,6.97,80.76,51,0,3.36
jinan,CN,1562696102,36.65,117.11,72.34,77,20,4.36
folsom,US,1562696102,38.68,-121.18,74.34,56,43,6.93
kuzino,RU,1562696102,57.02,59.44,59.2,75,81,3.38
guiratinga,BR,1562696102,-16.35,-53.76,89.8,21,0,3.94
maldonado,UY,1562696103,-34.91,-54.96,62.6,51,0,5.82
turtas,RU,1562696103,58.94,69.13,53.8,92,11,2.44
yakymivka,UA,1562696103,46.7,35.16,64.6,54,61,6.33
port hardy,CA,1562696103,50.7,-127.42,57.2,87,75,4.7
torva,EE,1562696103,58,25.93,56.82,82,91,11.41
dharchula,IN,1562696104,29.85,80.53,57.76,93,100,0.49
umm lajj,SA,1562696104,25.02,37.27,83.86,77,0,4.72
mayo,CA,1562696104,63.59,-135.9,66.2,39,40,8.05
jieshi,CN,1562696104,22.82,115.83,82.99,92,100,1.99
okakarara,NA,1562696105,-20.59,17.46,54.88,19,7,8.81
sarangani,PH,1562696105,5.4,125.46,80.62,74,96,1.97
sompeta,IN,1562695919,18.93,84.6,82.6,77,86,4.59
milas,TR,1562696106,37.31,27.78,85.28,54,0,10.29
kyren,RU,1562696106,51.68,102.13,46.42,89,81,1.16
aklavik,CA,1562696106,68.22,-135.01,61.92,59,40,4.7
dajabon,DO,1562696106,19.55,-71.71,93.99,58,67,7
beira,ES,1562696107,43.2,-8.36,67.69,77,40,12.75
basco,US,1562696107,40.33,-91.2,85.89,62,20,11.41
shakawe,BW,1562696107,-18.36,21.84,62.26,17,0,4.83
erenhot,CN,1562696107,43.65,111.97,70.54,51,92,11.77
yabelo,ET,1562696108,4.89,38.09,70.18,59,96,8.59
ust-ilimsk,RU,1562696108,57.96,102.73,58.3,69,17,1.54
pyshchug,RU,1562696108,58.89,45.71,51.82,98,100,11.43
talara,PE,1562696044,-4.58,-81.27,62.6,290,0,18.34
mareeba,AU,1562696108,-16.99,145.42,66.67,83,75,6.93
zhashkiv,UA,1562696109,49.25,30.1,55.42,86,50,9.17
bandarbeyla,SO,1562696109,9.49,50.81,80.8,66,10,28.1
kurilsk,RU,1562695928,45.23,147.88,45.7,92,100,14.45
puerto carreno,CO,1562696109,6.19,-67.49,80.6,83,40,8.05
lowestoft,GB,1562696110,52.48,1.75,63.93,72,40,8.05
bara,NG,1562696110,10.41,10.6,73.06,87,100,4.7
nago,IT,1562696110,45.88,10.89,71.08,78,75,11.41
kamiiso,JP,1562696110,41.82,140.65,49.48,88,8,3.22
coaraci,BR,1562696111,-14.64,-39.55,78.8,57,40,18.34
gubkinskiy,RU,1562696111,64.43,76.5,53.26,59,100,9.57
koran,BA,1562696111,43.81,18.57,64.18,100,75,5.82
sao joao da barra,BR,1562696111,-21.64,-41.05,73.4,49,75,11.41
port said,EG,1562696111,25.34,30.55,92.32,14,0,11.97
paulo ramos,BR,1562696112,-4.45,-45.24,84.4,57,3,5.44
palauig,PH,1562696112,15.44,119.9,84.04,78,58,13.78
santiago,PH,1562696112,16.69,121.54,72.7,90,90,3.56
pangkalanbuun,ID,1562696112,-2.68,111.62,70.36,98,68,1.57
golden,US,1562696003,39.76,-105.22,82.76,23,1,11.41
bassila,BJ,1562696113,9,1.66,72.7,95,100,2.64
russell,US,1562696113,38.9,-98.86,83.25,65,1,8.05
santa cruz cabralia,BR,1562696113,-16.28,-39.02,75.2,53,20,8.05
prince rupert,CA,1562696114,54.32,-130.32,57.2,93,90,5.82
bartow,DE,1562696114,53.82,13.35,65.35,61,33,5.01
comodoro rivadavia,AR,1562696114,-45.87,-67.48,55.4,71,0,4.7
sandwick,GB,1562696114,54.57,-2.89,60.48,100,100,14.99
san jose,HN,1562696114,14.25,-87.96,87.8,52,20,3.49
teknaf,BD,1562696115,20.86,92.31,85.12,81,100,20.69
yichang,CN,1562696115,30.77,111.32,61.54,88,16,3.02
karema,TZ,1562696115,-6.82,30.44,75.76,68,34,3.53
rio grande,BR,1562695911,-32.03,-52.1,64.4,59,20,8.05
palestina,CO,1562695951,1.72,-76.13,67.66,77,31,3.29
caravelas,BR,1562696116,-17.73,-39.27,71.26,65,70,9.69
kupang,ID,1562696116,-10.16,123.6,73.4,78,0,9.17
pervomayskiy,RU,1562696116,53.24,40.29,58.48,86,92,8.34
kiruna,SE,1562696117,67.86,20.23,66.2,32,66,11.41
kishapu,TZ,1562696117,-3.61,33.87,77.56,41,96,8.3
eureka,US,1562695998,40.8,-124.16,66.34,68,1,3.36
esplanada,BR,1562696117,-15.81,-43.31,81.16,24,0,9.15
preobrazheniye,RU,1562696117,42.9,133.91,53.26,97,14,2.86
lima,PE,1562695880,-12.06,-77.04,64.4,77,90,6.93
baisha,CN,1562696118,19.23,109.45,84.4,68,100,19.28
severobaykalsk,RU,1562696118,55.65,109.32,52,76,13,2.33
nuqui,CO,1562696118,5.71,-77.27,82.4,74,75,2.24
dmanisi,GE,1562696118,41.33,44.2,51.28,83,0,10.47
galle,GN,1562696119,10.08,-12.83,74.14,91,88,7.2
ufa,RU,1562696119,54.73,55.95,66.52,77,75,4.47
kutum,SD,1562696119,14.2,24.66,84.76,38,49,3.2
green river,US,1562696119,41.53,-109.47,73.17,26,1,18.34
tabat,ID,1562696119,-2.64,115.23,73.96,89,59,3.29
ewa beach,US,1562696120,21.32,-158.01,80.06,78,75,10.29
hearst,CA,1562696120,49.69,-83.67,85.3,35,84,7.49
kirovskiy,RU,1562696120,45.09,133.51,58.3,94,15,1.12
priargunsk,RU,1562696120,50.37,119.09,65.86,57,77,1.19
finschhafen,PG,1562696121,-6.6,147.85,60.46,94,68,3.87
sao felix do xingu,BR,1562695938,-6.64,-51.99,88,49,13,8.01
samarai,PG,1562696121,-10.62,150.67,70.36,90,96,4.97
sabha,LY,1562696122,27.03,14.43,94.66,6,0,8.19
sovetskaya gavan,RU,1562695928,48.97,140.29,50.02,89,92,3.56
shar,NG,1562696122,7.3,8.73,72.88,96,97,1.03
ust-nera,RU,1562696122,64.57,143.24,52.36,90,100,3.04
seydi,NE,1562696122,13.34,7.75,87.8,62,40,9.17
baldone,LV,1562696123,56.74,24.39,57.76,82,75,11.41
terrace,CA,1562696123,54.52,-128.61,66.36,88,90,3.36
whitehorse,CA,1562696123,60.72,-135.06,63.93,51,90,3.36
kalabo,ZM,1562696123,-15,22.67,63.52,17,28,3.69
kasongo-lunda,CD,1562696124,-6.48,16.82,70.54,25,58,2.93
dali,CN,1562696124,34.79,109.94,69.82,52,74,1.74
madang,CN,1562696124,35.32,102.79,34.9,96,49,2.04
kirakira,SB,1562696124,-10.46,161.92,78.28,83,54,18.01
marzuq,YE,1562696125,14.4,46.47,85.84,27,98,4.5
